kota,year,lst_forecast,lst_upper,lst_lower
Bukittinggi,2026,31.85,32.08,31.62
Bukittinggi,2027,31.85,32.08,31.62
Bukittinggi,2028,31.85,32.08,31.62
Bukittinggi,2029,31.85,32.08,31.62
Bukittinggi,2030,31.85,32.08,31.62
Padang,2026,25.41,26.0,24.82
Padang,2027,25.41,26.0,24.82
Padang,2028,25.41,26.0,24.82
Padang,2029,25.41,26.0,24.82
Padang,2030,25.41,26.0,24.82
Padang Panjang,2026,-5.44,-3.52,-7.36
Padang Panjang,2027,-5.44,-3.52,-7.36
Padang Panjang,2028,-5.44,-3.52,-7.36
Padang Panjang,2029,-5.44,-3.52,-7.36
Padang Panjang,2030,-5.44,-3.52,-7.36
Pariaman,2026,28.51,29.05,27.97
Pariaman,2027,28.4,28.93,27.86
Pariaman,2028,28.4,28.93,27.86
Pariaman,2029,28.4,28.93,27.86
Pariaman,2030,28.4,28.93,27.86
Payakumbuh,2026,23.81,24.88,22.75
Payakumbuh,2027,23.81,24.88,22.75
Payakumbuh,2028,23.81,24.88,22.75
Payakumbuh,2029,23.81,24.88,22.75
Payakumbuh,2030,23.81,24.88,22.75
Sawahlunto,2026,20.46,21.2,19.71
Sawahlunto,2027,20.46,21.2,19.71
Sawahlunto,2028,20.46,21.2,19.71
Sawahlunto,2029,20.46,21.2,19.71
Sawahlunto,2030,20.46,21.2,19.71
Solok,2026,13.09,13.74,12.44
Solok,2027,13.09,13.74,12.44
Solok,2028,13.09,13.74,12.44
Solok,2029,13.09,13.74,12.44
Solok,2030,13.09,13.74,12.44
