kota,kota_safe,year,lst_c_mean,lst_max,lst_min,lst_std,lst_p90,ndvi_mean,mndwi_mean,nbi_mean,lst_background,uhi_intensity,lst_baseline,delta_lst,year_num,is_urban,cluster,zona_uhi,uhi_category
Bukittinggi,Bukittinggi,2015,34.1141,44.33,27.04,3.7626,39.3,0.2538,-0.1416,39155.7894,31.6088,2.5053,34.1141,0.0,0,1,1,UHI Intensif 🔴,Tinggi
Bukittinggi,Bukittinggi,2017,34.9376,45.32,26.09,4.597,41.32,0.255,-0.1662,39436.9162,31.8187,3.1189,34.1141,0.8235,2,1,1,UHI Intensif 🔴,Tinggi
Bukittinggi,Bukittinggi,2018,35.3305,47.24,14.17,5.849,42.67,0.2497,-0.1696,40142.4497,32.7504,2.5801,34.1141,1.2164,3,1,1,UHI Intensif 🔴,Tinggi
Bukittinggi,Bukittinggi,2019,35.8355,47.69,25.56,5.1681,43.14,0.2543,-0.1634,39610.2763,33.3499,2.4856,34.1141,1.7214,4,1,1,UHI Intensif 🔴,Tinggi
Bukittinggi,Bukittinggi,2021,33.4272,45.22,22.31,4.1911,39.0,0.244,-0.1532,39031.3652,33.4272,0.0,34.1141,-0.6869,6,1,1,UHI Intensif 🔴,Sedang
Bukittinggi,Bukittinggi,2022,30.4567,44.84,-5.44,7.3852,38.88,0.2423,-0.1461,37846.4581,24.3504,6.1063,34.1141,-3.6574,7,1,1,UHI Intensif 🔴,Tinggi
Bukittinggi,Bukittinggi,2025,31.8703,42.18,21.47,5.0012,38.58,0.241,-0.16,38918.0045,21.0815,10.7888,34.1141,-2.2438,10,1,1,UHI Intensif 🔴,Tinggi
Padang,Padang,2015,31.6088,80.98,16.47,6.0277,40.23,0.3197,-0.1312,33099.6034,31.6088,0.0,31.6088,0.0,0,1,1,UHI Intensif 🔴,Sedang
Padang,Padang,2016,-2.3434,32.75,-58.39,10.4168,8.59,0.2286,-0.0715,26426.7679,0.28905000000000003,-2.6324,31.6088,-33.9522,1,1,1,UHI Intensif 🔴,Rendah
Padang,Padang,2017,29.0518,82.73,8.99,8.3338,40.71,0.3251,-0.1408,31990.2928,31.8187,-2.7669,31.6088,-2.557,2,1,1,UHI Intensif 🔴,Rendah
Padang,Padang,2018,32.2359,86.31,11.98,7.4505,42.95,0.3285,-0.1558,33340.4905,32.7504,-0.5145,31.6088,0.6271,3,1,1,UHI Intensif 🔴,Rendah
Padang,Padang,2019,33.3499,86.38,17.27,7.2185,43.94,0.3309,-0.1507,33088.5405,33.3499,0.0,31.6088,1.7411,4,1,1,UHI Intensif 🔴,Sedang
